date,part_id,part_name,quantity_used,stock_on_hand,lead_time_days,unit_cost,seasonal_factor,weekly_factor
2023-01-01,BRK-PAD-CER-F001,Ceramic Brake Pads - Front,7,475,7,65.0,1.0051640068467504,0.7
2023-01-01,BRK-DSC-ROT-R002,Brake Disc Rotor - Rear,3,489,10,120.0,1.0051640068467504,0.7
2023-01-01,BRK-FLD-DOT4-003,Brake Fluid DOT 4,11,490,3,18.5,1.0051640068467504,0.7
2023-01-01,BRK-CAL-FL-004,Brake Caliper - Front Left,1,471,14,180.0,1.0051640068467504,0.7
2023-01-01,BRK-MST-CYL-005,Brake Master Cylinder,0,469,21,250.0,1.0051640068467504,0.7
2023-01-01,BRK-SHO-SET-006,Brake Shoe Set - Rear,2,482,7,85.0,1.0051640068467504,0.7
2023-01-01,BRK-LIN-KIT-007,Brake Line Kit,1,451,5,45.0,1.0051640068467504,0.7
2023-01-01,BRK-HOS-FLEX-008,Brake Hose - Flexible,4,473,4,35.0,1.0051640068467504,0.7
2023-01-01,BRK-PED-ASM-009,Brake Pedal Assembly,0,481,14,120.0,1.0051640068467504,0.7
2023-01-01,BRK-BOO-SEN-010,Brake Booster Sensor,1,470,7,85.0,1.0051640068467504,0.7
2023-01-01,BRK-ABS-MOD-011,ABS Module,0,473,21,450.0,1.0051640068467504,0.7
2023-01-01,BRK-WAR-SEN-012,Brake Warning Sensor,1,463,5,25.0,1.0051640068467504,0.7
2023-01-01,FLT-OIL-ENG-013,Engine Oil Filter,15,472,3,12.5,1.0051640068467504,0.7
2023-01-01,FLT-AIR-HF-014,Air Filter - High Flow,11,464,5,18.75,1.0051640068467504,0.7
2023-01-01,FLT-FUL-INL-015,Fuel Filter Inline,3,477,4,22.0,1.0051640068467504,0.7
2023-01-01,FLT-CAB-AIR-016,Cabin Air Filter,8,476,3,15.5,1.0051640068467504,0.7
2023-01-01,FLT-TRN-KIT-017,Transmission Filter Kit,2,492,7,35.0,1.0051640068467504,0.7
2023-01-01,FLT-PWR-STE-018,Power Steering Filter,1,469,5,28.0,1.0051640068467504,0.7
2023-01-01,FLT-HYD-OIL-019,Hydraulic Oil Filter,1,472,7,45.0,1.0051640068467504,0.7
2023-01-01,FLT-AC-EVA-020,AC Evaporator Filter,6,488,4,32.0,1.0051640068467504,0.7
2023-01-01,FLT-EXH-CAT-021,Exhaust Catalytic Filter,0,479,14,280.0,1.0051640068467504,0.7
2023-01-01,FLT-DPF-DIE-022,DPF Diesel Filter,0,484,21,450.0,1.0051640068467504,0.7
2023-01-01,FLT-WAT-RAD-023,Water Radiator Filter,4,456,4,25.0,1.0051640068467504,0.7
2023-01-01,ENG-GSK-CMP-024,Engine Gasket Set Complete,1,484,14,85.0,1.0051640068467504,0.7
2023-01-01,ENG-TMG-BLT-025,Timing Belt Kit,0,494,21,120.0,1.0051640068467504,0.7
2023-01-01,ENG-OIL-PMP-026,Engine Oil Pump,0,453,14,180.0,1.0051640068467504,0.7
2023-01-01,ENG-CYL-HD-027,Cylinder Head Assembly,0,497,28,450.0,1.0051640068467504,0.7
2023-01-01,ENG-PST-RNG-028,Piston Ring Set,1,493,14,65.0,1.0051640068467504,0.7
2023-01-01,ENG-CAM-SHA-029,Camshaft Assembly,0,495,21,280.0,1.0051640068467504,0.7
2023-01-01,ENG-CRA-SHA-030,Crankshaft Assembly,0,466,28,380.0,1.0051640068467504,0.7
2023-01-01,ENG-VAL-SET-031,Valve Set Complete,0,467,14,120.0,1.0051640068467504,0.7
2023-01-01,ENG-FLY-WHE-032,Flywheel Assembly,0,470,21,220.0,1.0051640068467504,0.7
2023-01-01,ENG-TUR-CHR-033,Turbocharger Assembly,0,477,28,650.0,1.0051640068467504,0.7
2023-01-01,ENG-INT-MAN-034,Intake Manifold,1,452,14,180.0,1.0051640068467504,0.7
2023-01-01,ELC-ALT-ASM-035,Alternator Assembly,2,475,10,280.0,1.0051640068467504,0.7
2023-01-01,ELC-STR-MTR-036,Starter Motor,1,461,10,220.0,1.0051640068467504,0.7
2023-01-01,ELC-BAT-AGM-037,Battery - AGM Deep Cycle,3,467,7,180.0,1.0051640068467504,0.7
2023-01-01,ELC-IGN-COL-038,Ignition Coil Pack,5,484,5,85.0,1.0051640068467504,0.7
2023-01-01,ELC-SPK-IRD-039,Spark Plug Set - Iridium,6,470,4,45.0,1.0051640068467504,0.7
2023-01-01,ELC-WIR-HAR-040,Wiring Harness Main,0,456,21,350.0,1.0051640068467504,0.7
2023-01-01,ELC-FUS-BOX-041,Fuse Box Assembly,1,460,7,120.0,1.0051640068467504,0.7
2023-01-01,ELC-REL-GEN-042,Relay - General Purpose,8,473,3,15.0,1.0051640068467504,0.7
2023-01-01,ELC-SEN-O2-043,O2 Oxygen Sensor,2,465,7,85.0,1.0051640068467504,0.7
2023-01-01,ELC-ECU-ENG-044,ECU Engine Control Unit,0,493,21,450.0,1.0051640068467504,0.7
2023-01-01,ELC-LED-HED-045,LED Headlight Assembly,2,488,10,180.0,1.0051640068467504,0.7
2023-01-02,BRK-PAD-CER-F001,Ceramic Brake Pads - Front,8,499,7,65.0,1.0103264834868237,1.0
2023-01-02,BRK-DSC-ROT-R002,Brake Disc Rotor - Rear,4,476,10,120.0,1.0103264834868237,1.0
2023-01-02,BRK-FLD-DOT4-003,Brake Fluid DOT 4,15,485,3,18.5,1.0103264834868237,1.0
2023-01-02,BRK-CAL-FL-004,Brake Caliper - Front Left,1,452,14,180.0,1.0103264834868237,1.0
2023-01-02,BRK-MST-CYL-005,Brake Master Cylinder,0,495,21,250.0,1.0103264834868237,1.0
2023-01-02,BRK-SHO-SET-006,Brake Shoe Set - Rear,4,496,7,85.0,1.0103264834868237,1.0
2023-01-02,BRK-LIN-KIT-007,Brake Line Kit,3,479,5,45.0,1.0103264834868237,1.0
2023-01-02,BRK-HOS-FLEX-008,Brake Hose - Flexible,4,467,4,35.0,1.0103264834868237,1.0
2023-01-02,BRK-PED-ASM-009,Brake Pedal Assembly,0,479,14,120.0,1.0103264834868237,1.0
2023-01-02,BRK-BOO-SEN-010,Brake Booster Sensor,1,476,7,85.0,1.0103264834868237,1.0
